카드이름,할인내용2,할인율2(%),할인내용3,할인율3(%),할인내용4,할인율4(%),할인내용5,할인율5(%),할인내용6,할인율6(%),할인내용7,할인율7(%),할인내용8,할인율8(%),할인내용9,할인율9(%)
카드의정석 UNTACT AIR,온라인 신규 연회비,100.0,이동통신요금 정기결제,10.0,도시가스요금 정기결제 10% 청구할인전기요금 정기결제,10.0,4대 보험료 정기결제,10.0,학습지 정기결제,10.0,렌탈 정기결제,10.0,문화 정기결제,20.0,온라인 신규 연회비,100.0
zgm.play카드,"인앱결제 10% 청구할인올리브영 5% 청구할인쿠팡, 티몬",5.0,PC게임 충전 결제 10% 청구할인PC게임방 10% 청구할인온라인서점 5% 청구할인오프라인서점,5.0,이동통신요금,10.0,피트니스업종,10.0,교통,10.0,,,,,"인앱결제 10% 청구할인올리브영 5% 청구할인쿠팡, 티몬",5.0
zgm.휴가중카드,기본적립 :,2.0,호텔스닷컴 이용 시,20.0,,,,,,,,,,,기본적립 :,2.0
신한카드 Simple+,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
IBK DC히어로즈 카드,6대 생활영역 1% 기본캐시백이용금액 많은 영역,1.0,전국 음식점주점/커피전문점,1.0,쿠팡/11번가/G마켓/위메프온라인쇼핑,1.0,이마트/홈플러스/롯데마트,1.0,GS25/CU/세븐일레븐,1.0,SKT/KT/LGU+/LG헬로비전이동통신 요금 자동이체,1.0,종합병원/병의원/한의원/치과병원비,1.0,6대 생활영역 1% 기본캐시백이용금액 많은 영역,1.0
NU Uniq Point,온라인 신규 연회비,100.0,,,,,"쿠팡,G마켓,11번가,해외",2.0,,,,,,,온라인 신규 연회비,100.0
NH농협 올바른FLEX 카드,스타벅스,50.0,스트리밍 서비스,20.0,"배민, 요기요",10.0,온라인쇼핑,5.0,"지하철, 버스",7.0,SKT/KT/LGU+,7.0,"CGV, 롯데시네마",30.0,스타벅스,50.0
신한카드 Deep Dream(모베러웍스),신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
zgm.play++카드,"인앱결제 10% 청구할인올리브영 5% 청구할인쿠팡, 티몬",5.0,PC게임 충전 결제 10% 청구할인PC게임방 10% 청구할인온라인서점 5% 청구할인오프라인서점,5.0,이동통신요금,10.0,피트니스업종,10.0,교통,10.0,,,,,"인앱결제 10% 청구할인올리브영 5% 청구할인쿠팡, 티몬",5.0
KB국민 와이즈카드,최대,5.0,최대,5.0,최대,5.0,최대,5.0,최대,5.0,최대,5.0,대형마트 최대,5.0,최대,5.0
신한 Hi-Point 카드,주요 혜택모아 최대 5% 포인트 적립전 가맹점 이용금액 최대,2.0,,,롯데마트·이마트·홈플 최대,5.0,이동통신요금 자동이체 최대,5.0,롯데·현대백화점 결제 최대 5% 적립CJ오쇼핑·CJmall 최대 5%적립포인트로 백화점/할인점 상품권 교환!2~3개월 무이자 할부 서비스쇼핑,30.0,대형 놀이공원 최대,50.0,,,주요 혜택모아 최대 5% 포인트 적립전 가맹점 이용금액 최대,2.0
현대카드M BOOST,,,,,,,,,,,온라인 간편결제 서비스,5.0,,,,
카드의정석 MILEAGE SKYPASS,,,,,,,,,,,,,,,,
무민 카드(신용),주요 커피전문점,20.0,온라인쇼핑,20.0,대형마트 이용시,5.0,,,,,,,"GS25,CU,세븐일레븐",10.0,주요 커피전문점,20.0
신한카드 플리(산리오캐릭터즈),,,,,,,,,,,,,,,,
zgm.the pay카드,,,,,,,,,,,,,,,,
the Green Edition2,연회비,100.0,,,국내외 가맹점 1~2% M포인트 적립영역별,5.0,,,,,,,,,연회비,100.0
신한카드 경차사랑 Life,,,,,편의점 업종,10.0,커피전문점,10.0,,,,,병원/약국,10.0,,
the Pink,,,국내외 가맹점 1~2% M포인트 적립영역별,5.0,,,,,,,,,,,,
K-22(Point),,,,,,,주요 커피전문점,20.0,백화점·대형마트,10.0,KTX·SRT,10.0,,,,
K-22(Mileage),,,,,,,주요 커피전문점,20.0,백화점·대형마트,10.0,KTX·SRT,10.0,,,,
현대카드X2 BOOST,온라인 간편결제,5.0,모든가맹점 실적별,1.0,,,,,,,,,,,온라인 간편결제,5.0
zgm.고향으로카드,,,,,,,,,,,,,,,,
현대카드Z work,편의점 이용금액의,10.0,대중교통 이용금액의,10.0,커피전문점 이용금액의,50.0,이동통신요금 정기결제 시,7.0,온라인 간편결제 서비스이용금액의,10.0,,,,,편의점 이용금액의,10.0
현대카드ZERO Edition2(할인형),,,,,,,,,,,,,,,,
KB국민 WE:SH All 카드,온라인신규신청 연회비,100.0,"국내가맹점 실적, 한도 없이 1%할인 해외가맹점 실적 없이",2.0,로켓와우멤버십 등 자동납부,50.0,"넷플릭스,티빙 등 자동납부",10.0,"SKT,KT 등 자동납부요금",5.0,"전월실적, 한도없이 카페 1%할인전월실적, 한도없이 베이커리",1.0,"전월실적, 한도없이 편의점",1.0,온라인신규신청 연회비,100.0
KB국민 마일리지 가온카드(대한항공),,,,,,,,,,,,,,,,
KB국민행복카드,,,,,홈쇼핑 · 온라인쇼핑몰,5.0,,,문화센터·학습지,5.0,키즈카페,5.0,아파트 관리비 자동납부시,5.0,,
쇼핑앤조이 카드,"후불교통 및 택시비 청구할인!버스, 지하철, 택시",5.0,이동통신요금 자동이체,5.0,"국내 온라인 쇼핑 5,000원 할인!해외 온·오프라인 쇼핑",5.0,,,,,당행 이체수수료/타행 출금수수료 면제환전 시 환율,70.0,,,"후불교통 및 택시비 청구할인!버스, 지하철, 택시",5.0
카드의정석 MILEAGE Asiana Club,,,,,,,,,,,,,,,,
아시아나 신한카드 Air 1.5,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
KB국민 톡톡F 카드,온라인신규신청 연회비,100.0,지그재그·무신사 최대,60.0,온라인 간편결제,10.0,편의점 업종,5.0,버스 ·지하철,5.0,,,,,온라인신규신청 연회비,100.0
트래블로그 신용카드,,,국내외 전 가맹점 1.0% 적립면세 가맹점 3% 하나머니 적립!여행 가맹점 3% 하나머니 적립!해외 전 가맹점,3.0,,,항공 가맹점,3.0,,,,,,,,
KB국민 탄탄대로 온리유 티타늄카드,,,,,,,기타 차량서비스 업종,10.0,자동납부 시,10.0,,,이용 시 최대,50.0,,
olleh Super DC IBK카드,,,아웃백/VIPS/TGIF,10.0,,,,,,,,,,,,
KB국민 FINETECH카드(마일리지 아시아나),온라인신규신청 연회비,100.0,,,,,,,,,,,,,온라인신규신청 연회비,100.0
KB국민 마이핏카드(할인형),VIPS·아웃백 최대 1만원 할인배달앱 이용 시,5.0,,,,,,,,,,,,,VIPS·아웃백 최대 1만원 할인배달앱 이용 시,5.0
KB국민 탄탄대로 온리유카드,차량 관리 서비스 업종,5.0,,,,,자동납부 시,5.0,,,"롯데월드, 에버랜드 50% 할인캐리비안베이",30.0,플러스 O2O 이용 시,5.0,차량 관리 서비스 업종,5.0
KB국민 Our WE:SH 카드,온라인신규신청 연회비,100.0,SKT등 이동통신요금,10.0,"한식,중식,일식,양식업종 5%청구할인배달의민족 등 배달앱 5% 청구할인패스트푸드 업종",10.0,신세계백화점 등 백화점,5.0,롯데마트 등 대형마트 5% 청구할인롯데슈퍼 등 SSM,5.0,"SK주유소,SK충전소",5.0,CGV등 영화관,10.0,온라인신규신청 연회비,100.0
경차 smart 롯데카드,,,,,,,,,,,,,,,,
